id,Product_code,UPC_code,Manufacturer,Model,Product_name,shortDescription,longDescription,additionalImageURLs,Product_type_code,Image_URL,Thumbnail,Color,Selling_Price,Regular_Price,Primary_Category_ID,Sales_rank_short,Sales_rank_medium,Sales_rank_long,Bestseller_rank,OnSale,TopRated,AvailableInStore,FreeShipping,AverageReviewRating,ReviewCount,created_at,updated_at,cat1,cat2,cat3,cat4,cat5
1,1997404,468380703721,JVC,HAEN10-W-K,JVC - Gumy Wired Earbud Headphones - White,JVC Gumy Earbud Headphones: Sound isolating; ear cushions included; sweatproof,"Jam out to your favorite tunes while you work out with these JVC Gumy HAEN10-W-K earbud headphones, which feature sound isolation to block out background noise.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997404_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997404fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997404_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997404_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997404_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997404_s.gif,White,10.99,10.99,6,20395,22639,19516,20058,0,0,1,1,4,31,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
2,1997422,468380659583,JVC,HAFR6R,JVC - Gumy Plus Wired Earbud Headphones - Red,JVC Gumy Plus Earbud Headphones: Sound isolating; built-in microphone; in-line remote; 3.3' cord; 3.5mm gold-plated stereo plug; includes 3 sizes of silicone earpieces,"With a sound-isolating design, these JVC Gumy Plus HAFR6R earbud headphones help you stay immersed in your favorite tunes by blocking out background sounds. The in-line remote simplifies music navigation.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422_s.gif,Red,11.99,11.99,6,NULL,26370,17957,19033,0,0,1,1,4.2,3900,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
3,1997431,468380703655,JVC,HAEN10-B-K,JVC - Gumy Wired Earbud Headphones - Black,JVC Gumy Earbud Headphones: Sound isolating; ear cushions included; sweatproof,"Jam out to your favorite tunes while you work out with these JVC Gumy HAEN10-B-K earbud headphones, which feature sound isolation to block out background noise.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431_s.gif,Black,14.95,14.95,6,13964,14490,12912,13287,0,0,1,1,4,31,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
4,2224026,8.13E+11,JLab Audio,HJBUDDIESRGRYBLU6,JLab Audio - JBuddies Folding Wired On-Ear Headphones - Blue/Gray,folding design; spill-resistant design; customizable; built-in volume limiter,"Listen to music safely with these JLab Audio JBuddies folding headphones, which have an integrated 85db volume leveler to safeguard sensitive ears. Equipped with soft cushions which stay comfortable for extended periods, these earphones and make a great addition to your kid&#8217;s travel kit. Use these versatile JLab Audio JBuddies folding headphones with a range of devices.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026_s.gif,Blue/Gray,19.99,19.99,6,7439,6866,7515,7445,0,0,1,0,4.2,276,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
5,2224099,8.13E+11,JLab Audio,HJBUDDIESRBLKPNK6,JLab Audio - JBuddies Folding Wired On-Ear Headphones - Black/Pink,folding design; spill-resistant design; customizable; built-in volume limiter,"Entertain your kids with these JLab Audio JBuddies folding headphones, which fit neatly into any travel bag. Soft ear cushions stay comfortable for hours, while the unit&#8217;s volume leveler keeps audio at a reasonable level, protecting sensitive ears. Durable and appealing, these JLab Audio JBuddies folding headphones are made especially for smaller people.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099_s.gif,Black/Pink,19.99,19.99,6,8376,8822,10473,10081,0,0,1,0,4.2,276,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
6,2672289,846430002458,Etymotic,121860,Etymotic - ETY-Plugs High-Fidelity Wired Earplugs - Clear,Noise reduction; clarity preservation,"Preserve clarity of speech and music using these Etymotic ETY-Plugs 121860 high-fidelity earplugs that are configured to replicate the ear canal, enabling the reproduction of unchanged sound as the ear would hear it while reducing noise and volume level.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2672/2672289_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2672/2672289fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2672/2672289_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2672/2672289_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2672/2672289_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2672/2672289_s.gif,Clear,14.99,14.99,6,23036,25826,31985,29687,0,0,1,0,4.1,20,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
7,2822013,6.15E+11,Sennheiser,RS 175,Sennheiser - RS 175 RF Wireless Over-The-Ear Headphones - Black,Wireless with wired connection also available via provided audio cableRechargeable battery that lasts up to 18 hoursBass Boost sound effectStereo output mode,"Customize your sound with these Sennheiser wireless headphones. Precision speakers and advanced digital wireless audio transmission provide rich high-fidelity audio, while the adjustable listening modes let you personalize your listening experience. These Sennheiser wireless headphones include a multipurpose transmitter that functions as a charger and offers an effective range of up to 328 feet.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2822/2822013_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2822/2822013fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2822/2822013_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2822/2822013_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2822/2822013cv1d.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2822/2822013ld.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2822/2822013_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2822/2822013_s.gif,Black,199.98,279.98,6,4703,5252,5749,5633,1,1,1,1,4.6,556,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
8,2882041,922989115406,KIDdesigns,CR-140.EXV7,KIDdesigns - Cars 3 Wired Over-the-Ear Headphones - Yellow/White/Red/Black,Adjustable headband; 3.5mm connector; stereo output mode,"Play music for your little car enthusiast with these eKids Cars 3 headphones. Their built-in volume limiter provides kid-friendly sound levels that are safe for your child&#8217;s ears, and the Lightning McQueen design delights any Cars fan. These eKids Cars 3 headphones have pivoting ear cushions to keep your child comfortable.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2882/2882041fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2882/2882041_r.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2882/2882041_rb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2882/2882041cv11d.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2882/2882041_rd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2882/2882041ld.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2882/2882041_ra.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2882/2882041_r.gif,Yellow/White/Red/Black,19.99,19.99,6,2706,2842,3419,3295,0,0,1,0,4.3,2204,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
9,2961136,8.78E+11,V-MODA,EA-VFD-ROUGE,V-MODA - Faders Wired Earplugs - Rouge,Reduce harmful noise levels; 4 sizes of patented medical-grade BLISS 3.0 hybrid silicone fittings are included; detachable cord; carrying case included,"Hear live events clearly and comfortably with these V-MODA Faders earplugs. The even reduction of noise levels by 12dB prevents noise-induced hearing loss yet maintains sound clarity in concerts, clubs and public speeches. These V-MODA Faders earplugs come with a carrying case and detachable cord for convenient storage and portability.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961136_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961136fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961136_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961136_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961136cv1d.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961136le.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961136_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961136_s.gif,Rouge,19.98,19.98,6,32579,34443,71589,48290,0,0,1,0,4.3,7,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
10,2961241,8.78E+11,V-MODA,XFL2V-U-MBLACK,V-MODA - Crossfade LP2 Wired Over-the-Ear Headphones - Matte Black,Over-the-ear design50mm dual-diaphragm driversAnalog noise isolationSteelFlex headbandExoskeleton V-STRAP,"Get lost in incredible sounds with these V-MODA Crossfade over-ear headphones. Their 50mm dual-diaphragm drivers produce crystal-clear, immersive audio at 5Hz - 30kHz, and the Ergosoft foam cushions provide comfort and enhanced noise isolation. Take hands-free calls easily with the included SpeakEasy one-button microphone cable of these V-MODA Crossfade over-ear headphones.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961241_sd.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961241_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961241_s.gif,Matte Black/Gray,149.98,149.98,6,NULL,NULL,97082,100190,0,1,1,1,4.6,19,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
